documento_id,tipo_documento,area_direito,modelo_ou_peca_real,qualidade_clareza,qualidade_estrutura,risco,resumo
[2022] Ação de Exigir Contas - Sociedade em Conta de Participação.docx,peticao_inicial,civil,modelo,8,7,2,"Modelo de petição inicial para ação de exigir contas em sociedade em conta de participação, abordando divergências na prestação de contas e requerendo a citação do réu."
2021,contestacao,civil,peca_real,8,8,2,"Contestação em ação de rescisão de contrato, abordando questões de incompetência relativa e ilegitimidade passiva dos sócios, com fundamentação jurídica detalhada."
2021,peticao_inicial,empresarial,peca_real,8,7,2,"A peça trata da apuração de haveres em um processo empresarial, solicitando a homologação de laudo pericial e contestando pedidos de esclarecimentos adicionais."
[2022] Ação de Exigir Contas - Sociedade em conta de Participação - Pool Hoteleiro.docx,peticao_inicial,civil,modelo,8,8,2,"Ação de exigir contas em uma sociedade em conta de participação, onde os autores buscam a prestação de contas da administração do pool hoteleiro pelo réu."
2021,recurso,civil,peca_real,8,8,2,"Recurso especial interposto contra decisão que decretou a desconsideração da personalidade jurídica, alegando violação ao art. 50 do Código Civil e ausência de requisitos legais."
2021,outro,empresarial,modelo,8,7,2,Documento apresenta quesitos para perícia contábil em ação de dissolução de sociedade e afastamento de sócio administrador por má-gestão.
AÇÃO INDENIZATÓRIA - DANOS MATERIAIS E MORAIS.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação indenizatória por danos materiais e morais devido à falha na prestação de serviços de telefonia, com pedidos de devolução de valores e compensação por danos morais."
Declaração Inexistência de Débito cc danos morais e materiais com liminar.docx,peticao_inicial,civil,peca_real,8,7,2,"Ação de declaração de inexistência de débito com pedido de indenização por danos morais e materiais, devido à inclusão indevida do nome da autora em cadastros de inadimplentes."
Recurso Inominado Cível  - Indenização - Passagens Aéreas.docx,recurso,consumidor,peca_real,8,7,2,"Recurso inominado visando a indenização por danos materiais e morais devido ao cancelamento de passagens aéreas em decorrência da pandemia, alegando descumprimento contratual pela companhia aérea."
Suspensão Indevida de Energia Elétrica com Tutela Antecipada.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação de indenização por danos morais devido à suspensão indevida de energia elétrica, com pedido de tutela antecipada, alegando hipossuficiência e ilegalidade no corte do serviço."
AÇÃO INDENIZATÓRIA - ATRASSO VOO.docx,peticao_inicial,consumidor,peca_real,8,7,2,"A peça trata de uma ação indenizatória por atraso de voo, buscando reparação por danos materiais e morais sofridos pelo autor devido ao transtorno causado pela companhia aérea."
2021,peticao_inicial,consumidor,peca_real,8,7,2,"Ação de repactuação de dívidas com base na Lei do Superendividamento, solicitando a citação de credores e a concessão de justiça gratuita."
2021,peticao_inicial,civil,peca_real,8,7,2,"A peça apresenta uma exceção de pré-executividade fundamentada na nova Lei do Superendividamento, visando a repactuação de dívidas do executado, alegando sua condição de superendividado."
Indenização - Passagens Aéreas.docx,peticao_inicial,consumidor,peca_real,8,7,2,Ação de indenização por danos materiais e morais devido ao cancelamento de passagens aéreas e negativa de reembolso pela companhia aérea.
Consumidor - Indenizatória - Produto com Defeito.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação indenizatória por produto com defeito, pleiteando restituição de valores e danos morais devido à falta de assistência do fornecedor."
2021,peticao_inicial,consumidor,modelo,8,7,2,"Ação de Limitação de Descontos com base na Lei do Superendividamento, visando proteger o autor de descontos excessivos em sua renda, fundamentada no Código de Defesa do Consumidor."
Indenização por Danos Morais - Cartão de crédito ou seguro sem ser solicitado.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação de indenização por danos morais devido ao envio de cartão de crédito não solicitado, configurando prática abusiva e violação dos direitos do consumidor."
