documento_id;tipo_documento;area_direito;modelo_ou_peca_real;qualidade_clareza;qualidade_estrutura;risco;resumo;NOTA;RAG GOLD;RAG SILVER;RAG_GOLD;RAG_SILVER
[2022] A√ß√£o de Exigir Contas - Sociedade em Conta de Participa√ß√£o.docx;peticao_inicial;civil;modelo;8;7;2;Modelo de peti√ß√£o inicial para a√ß√£o de exigir contas em sociedade em conta de participa√ß√£o, abordando diverg√™ncias na presta√ß√£o de contas e requerendo a cita√ß√£o do r√©u.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;empresarial;peca_real;8;7;2;A pe√ßa trata da apura√ß√£o de haveres em um processo empresarial, solicitando a homologa√ß√£o de laudo pericial e contestando pedidos de esclarecimentos adicionais.;56,25;NÃO;SIM;NÃO;SIM
2021;outro;empresarial;modelo;8;7;2;Documento apresenta quesitos para per√≠cia cont√°bil em a√ß√£o de dissolu√ß√£o de sociedade e afastamento de s√≥cio administrador por m√°-gest√£o.;56,25;NÃO;SIM;NÃO;SIM
ACÃßAÃÉO INDENIZATOÃÅRIA - DANOS MATERIAIS E MORAIS.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o indenizat√≥ria por danos materiais e morais devido √† falha na presta√ß√£o de servi√ßos de telefonia, com pedidos de devolu√ß√£o de valores e compensa√ß√£o por danos morais.;56,25;NÃO;SIM;NÃO;SIM
DeclaracÃßaÃÉo InexisteÃÇncia de DeÃÅbito cc danos morais e materiais com liminar.docx;peticao_inicial;civil;peca_real;8;7;2;A√ß√£o de declara√ß√£o de inexist√™ncia de d√©bito com pedido de indeniza√ß√£o por danos morais e materiais, devido √† inclus√£o indevida do nome da autora em cadastros de inadimplentes.;56,25;NÃO;SIM;NÃO;SIM
Recurso Inominado CiÃÅvel  - IndenizacÃßaÃÉo - Passagens AeÃÅreas.docx;recurso;consumidor;peca_real;8;7;2;Recurso inominado visando a indeniza√ß√£o por danos materiais e morais devido ao cancelamento de passagens a√©reas em decorr√™ncia da pandemia, alegando descumprimento contratual pela companhia a√©rea.;56,25;NÃO;SIM;NÃO;SIM
SuspensaÃÉo Indevida de Energia EleÃÅtrica com Tutela Antecipada.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o de indeniza√ß√£o por danos morais devido √† suspens√£o indevida de energia el√©trica, com pedido de tutela antecipada, alegando hipossufici√™ncia e ilegalidade no corte do servi√ßo.;56,25;NÃO;SIM;NÃO;SIM
ACÃßAÃÉO INDENIZATOÃÅRIA - ATRASSO VOO.docx;peticao_inicial;consumidor;peca_real;8;7;2;A pe√ßa trata de uma a√ß√£o indenizat√≥ria por atraso de voo, buscando repara√ß√£o por danos materiais e morais sofridos pelo autor devido ao transtorno causado pela companhia a√©rea.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o de repactua√ß√£o de d√≠vidas com base na Lei do Superendividamento, solicitando a cita√ß√£o de credores e a concess√£o de justi√ßa gratuita.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;civil;peca_real;8;7;2;A pe√ßa apresenta uma exce√ß√£o de pr√©-executividade fundamentada na nova Lei do Superendividamento, visando a repactua√ß√£o de d√≠vidas do executado, alegando sua condi√ß√£o de superendividado.;56,25;NÃO;SIM;NÃO;SIM
IndenizacÃßaÃÉo - Passagens AeÃÅreas.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o de indeniza√ß√£o por danos materiais e morais devido ao cancelamento de passagens a√©reas e negativa de reembolso pela companhia a√©rea.;56,25;NÃO;SIM;NÃO;SIM
Consumidor - IndenizatoÃÅria - Produto com Defeito.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o indenizat√≥ria por produto com defeito, pleiteando restitui√ß√£o de valores e danos morais devido √† falta de assist√™ncia do fornecedor.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;consumidor;modelo;8;7;2;A√ß√£o de Limita√ß√£o de Descontos com base na Lei do Superendividamento, visando proteger o autor de descontos excessivos em sua renda, fundamentada no C√≥digo de Defesa do Consumidor.;56,25;NÃO;SIM;NÃO;SIM
IndenizacÃßaÃÉo por Danos Morais - CartaÃÉo de creÃÅdito ou seguro sem ser solicitado.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o de indeniza√ß√£o por danos morais devido ao envio de cart√£o de cr√©dito n√£o solicitado, configurando pr√°tica abusiva e viola√ß√£o dos direitos do consumidor.;56,25;NÃO;SIM;NÃO;SIM
